Name		chromosome	base_pair_location	other_allele	effect_allele	Trait	Cohort	Model	beta	ci_lower	ci_upper	p_value	effect_allele_frequency	standard_error	Rank	CRISPR gene?	Our p-val
LRRC19	ENSG00000184434).GENE.M1.0001	9	26995520	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.322359	0.0350224	0.609695	0.0278881	4.86E-05	0.999951	2737	#N/A	#N/A
MS4A4A	ENSG00000110079).GENE.M3.0001	11	60280675	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.297546	-0.562768	-0.0323253	0.0278889	5.71E-05	0.999943	2738	#N/A	#N/A
MOSPD3	ENSG00000106330).GENE.M3.001	7	100612791	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.109637	0.0119019	0.207372	0.0279034	0.000420565	0.999579	2739	#N/A	#N/A
OR5M3	ENSG00000174937).GENE.M3.0001	11	56469573	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.240281	0.0260141	0.454548	0.0279546	8.75E-05	0.999912	2740	#N/A	#N/A
WIF1	ENSG00000156076).GENE.M3.0001	12	65051348	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.156709	0.016937	0.296481	0.0279872	0.000205421	0.999795	2741	#N/A	#N/A
AMY2A	ENSG00000243480).GENE.M1.0001	1	103617440	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.190224	-0.359894	-0.0205531	0.0279929	0.000128844	1.09422	2742	#N/A	#N/A
AFAP1L1	ENSG00000157510).GENE.M3.singleton	5	149271968	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.190146	-0.359749	-0.0205422	0.0279952	0.000139783	0.99986	2743	#N/A	#N/A
SOX17	ENSG00000164736).GENE.M1.01	8	54458138	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.206161	0.0222607	0.390062	0.0280053	0.000127628	0.999872	2744	#N/A	#N/A
GAA	ENSG00000171298).GENE.M1.singleton	17	80104586	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.330568	-0.625447	-0.035689	0.0280078	4.62E-05	0.999954	2745	#N/A	#N/A
OSGEPL1	ENSG00000128694).GENE.M1.1	2	189750577	ref	M1.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0311944	-0.0590223	-0.00336651	0.0280152	0.00525342	1.00123	2746	#N/A	#N/A
UHRF1BP1	ENSG00000065060).GENE.M1.0001	6	34792250	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.160714	-0.304089	-0.0173402	0.0280198	0.000195697	0.999804	2747	#N/A	#N/A
EPHB2	ENSG00000133216).GENE.M3.1	1	22710982	ref	M3.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0232797	-0.0440485	-0.00251085	0.0280266	0.00951742	0.998128	2748	#N/A	#N/A
CERCAM	ENSG00000167123).GENE.M3.001	9	128420877	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0561799	-0.106301	-0.00605902	0.0280276	0.00160325	0.998394	2749	#N/A	#N/A
MOV10L1	ENSG00000073146).GENE.M1.0001	22	50090088	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.148061	0.0159437	0.280179	0.028057	0.000229731	0.99977	2750	#N/A	#N/A
CD55	ENSG00000196352).GENE.M3.singleton	1	207321765	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.289596	-0.54802	-0.0311716	0.0280649	6.08E-05	0.999939	2751	#N/A	#N/A
MAML2	ENSG00000184384).GENE.M3.singleton	11	95978947	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.269783	-0.510565	-0.0290017	0.0280892	6.93E-05	0.999931	2753	#N/A	#N/A
GPBAR1	ENSG00000179921).GENE.M1.0001	2	218262724	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.44635	0.0479733	0.844726	0.0280929	2.55E-05	0.999974	2754	#N/A	#N/A
RSPH10B2	ENSG00000169402).GENE.M1.singleton	7	6757677	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.508972	-0.963321	-0.0546235	0.0281207	1.94E-05	0.999981	2755	#N/A	#N/A
PPP2R5C	ENSG00000078304).GENE.M3.01	14	101761893	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0701777	0.00752376	0.132832	0.0281403	0.00102346	0.998975	2756	#N/A	#N/A
PLSCR1	ENSG00000188313).GENE.M1.01	3	146516044	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.101906	-0.192897	-0.0109161	0.0281563	0.000486203	0.999514	2757	#N/A	#N/A
TMEM63B	ENSG00000137216).GENE.M3.0001	6	44134584	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.12447	-0.235614	-0.0133267	0.0281655	0.000325756	0.999674	2758	#N/A	#N/A
NOTCH2NL	ENSG00000264343).GENE.M1.001	1	146147688	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.278452	0.0297959	0.527107	0.0281763	6.56E-05	0.999934	2759	#N/A	#N/A
ADAT1	ENSG00000065457).GENE.M3.01	16	75600215	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0471806	-0.0893171	-0.00504403	0.0281934	0.002273	0.997722	2760	#N/A	#N/A
KLRG1	ENSG00000139187).GENE.M3.0001	12	8989635	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.334447	0.0357212	0.633172	0.0282114	4.50E-05	0.999955	2761	#N/A	#N/A
SLC30A10	ENSG00000196660).GENE.M3.1	1	219915448	ref	M3.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0577591	-0.10935	-0.0061687	0.0282125	0.00152911	0.998469	2762	#N/A	#N/A
DPH2	ENSG00000132768).GENE.M1.0001	1	43970175	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.401148	-0.75946	-0.0428365	0.0282153	3.16E-05	0.999968	2763	#N/A	#N/A
NT5DC1	ENSG00000178425).GENE.M3.0001	6	116100930	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.116642	-0.220835	-0.0124497	0.0282243	0.00037073	0.999629	2764	#N/A	#N/A
ATXN3	ENSG00000066427).GENE.M1.1	14	92064319	ref	M1.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0625603	0.0066767	0.118444	0.028226	0.00128722	0.998711	2765	#N/A	#N/A
GUCY1B3	ENSG00000061918).GENE.M3.01	4	155759140	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0680845	-0.128905	-0.00726374	0.0282326	0.00108666	0.998912	2766	#N/A	#N/A
RACGAP1	ENSG00000161800).GENE.M3.01	12	49976949	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0718418	-0.136026	-0.00765779	0.0282493	0.000976052	0.999023	2767	#N/A	#N/A
KSR1	ENSG00000141068).GENE.M3.1	17	27577530	ref	M3.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0456101	-0.0863632	-0.00485705	0.0282673	0.00243101	0.997563	2768	#N/A	#N/A
CNGA2	ENSG00000183862).GENE.M3.0001	23	151738483	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0991721	-0.18779	-0.0105546	0.0282785	0.000350066	1.45814	2769	#N/A	#N/A
ZNFX1	ENSG00000124201).GENE.M3.01	20	49238913	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0390407	-0.073928	-0.00415329	0.0282862	0.00331833	0.997406	2770	#N/A	#N/A
TBCC	ENSG00000124659).GENE.M1.001	6	42745032	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.195887	-0.370938	-0.0208368	0.0282883	0.000131275	0.999869	2771	#N/A	#N/A
TAF3	ENSG00000165632).GENE.M3.singleton	10	7818709	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.290444	0.0308835	0.550005	0.0282953	5.96E-05	0.99994	2772	#N/A	#N/A
MAGEC1	ENSG00000155495).GENE.M1.001	23	141905072	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0815629	0.00866953	0.154456	0.0283023	0.000550625	1.37051	2773	#N/A	#N/A
TPK1	ENSG00000196511).GENE.M3.001	7	144453544	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.096984	-0.183663	-0.0103048	0.0283093	0.000534823	0.999465	2774	#N/A	#N/A
HEPHL1	ENSG00000181333).GENE.M1.0001	11	94021368	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.159336	0.0169161	0.301756	0.0283246	0.000198128	0.999802	2775	#N/A	#N/A
TCTN2	ENSG00000168778).GENE.M1.singleton	12	123671240	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.34349	0.0364118	0.650569	0.028353	4.25E-05	0.999957	2776	#N/A	#N/A
INPP4B	ENSG00000109452).GENE.M3.01	4	142028781	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0619291	0.00656241	0.117296	0.0283599	0.00131275	0.998686	2777	#N/A	#N/A
RIN1	ENSG00000174791).GENE.M1.singleton	11	66332275	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.443677	0.0469879	0.840366	0.0283707	2.55E-05	0.999974	2778	#N/A	#N/A
RP5-874C20.8	ENSG00000276302).GENE.M1.001	6	28271919	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.339037	-0.642201	-0.0358721	0.0283883	4.38E-05	0.999956	2779	#N/A	#N/A
PSMD3	ENSG00000108344).GENE.M3.singleton	17	39980970	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.334181	0.0353484	0.633014	0.0283936	4.50E-05	0.999955	2780	#N/A	#N/A
ZKSCAN8	ENSG00000198315).GENE.M3.singleton	6	28148407	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.254257	0.0268752	0.481638	0.0284069	7.78E-05	0.999922	2782	#N/A	#N/A
PRSS23	ENSG00000150687).GENE.M3.1	11	86807643	ref	M3.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0473251	0.00500066	0.0896495	0.0284131	0.0022499	0.998828	2783	#N/A	#N/A
MYH1	ENSG00000109061).GENE.M1.1	17	10492415	ref	M1.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.038724	-0.073358	-0.00408998	0.0284215	0.00336452	0.998799	2784	#N/A	#N/A
CMTR2	ENSG00000180917).GENE.M1.0001	16	71283607	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.199319	0.02104	0.377598	0.028432	0.000126413	0.999874	2785	#N/A	#N/A
AHCYL2	ENSG00000158467).GENE.M1.001	7	129225076	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.227155	0.0239703	0.430339	0.0284382	9.72E-05	0.999903	2786	#N/A	#N/A
PARP1	ENSG00000143799).GENE.M3.0001	1	226361459	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0923351	-0.174929	-0.00974156	0.0284421	0.000595598	0.999404	2787	#N/A	#N/A
MAP2	ENSG00000078018).GENE.M3.01	2	209653170	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0371116	-0.0703096	-0.00391362	0.0284504	0.00369879	0.997607	2788	#N/A	#N/A
NUDT1	ENSG00000106268).GENE.M3.01	7	2242991	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0629257	0.00663433	0.119217	0.0284547	0.0012702	0.998728	2789	#N/A	#N/A
PRELID3B	ENSG00000101166).GENE.M3.001	20	59035006	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.13457	0.0141798	0.254961	0.0284655	0.000277136	0.999723	2790	#N/A	#N/A
CRYL1	ENSG00000165475).GENE.M1.singleton	13	20404128	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.612076	0.064481	1.15967	0.0284695	1.34E-05	0.999987	2791	#N/A	#N/A
RABEPK	ENSG00000136933).GENE.M1.001	9	125203013	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.119323	0.0125681	0.226079	0.028473	0.000352497	0.999647	2792	#N/A	#N/A
PKDCC	ENSG00000162878).GENE.M3.001	2	42048199	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0736026	-0.139457	-0.00774863	0.0284821	0.00093594	0.999063	2793	#N/A	#N/A
BMPR1A	ENSG00000107779).GENE.M3.singleton	10	86876018	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.306154	-0.580082	-0.0322267	0.0284846	5.35E-05	0.999947	2794	#N/A	#N/A
SLC36A4	ENSG00000180773).GENE.M3.001	11	93148536	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0671347	0.00706126	0.127208	0.0284992	0.00111584	0.998883	2795	#N/A	#N/A
TDRD7	ENSG00000196116).GENE.M3.singleton	9	97428465	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.197269	-0.373796	-0.0207416	0.0285057	0.000128844	0.999871	2796	#N/A	#N/A
DLGAP1	ENSG00000170579).GENE.M3.singleton	18	3499184	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.186816	-0.353996	-0.0196362	0.0285117	0.00014343	0.999857	2797	#N/A	#N/A
NR2F1	ENSG00000175745).GENE.M3.0001	5	93585023	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.258052	-0.489007	-0.0270961	0.0285307	7.54E-05	0.999925	2798	#N/A	#N/A
FBXO31	ENSG00000103264).GENE.M1.singleton	16	87331287	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.563239	-1.0674	-0.0590771	0.0285511	1.58E-05	0.999984	2799	#N/A	#N/A
FUCA1	ENSG00000179163).GENE.M3.singleton	1	23845714	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.242238	-0.459083	-0.0253927	0.0285622	8.63E-05	0.999914	2800	#N/A	#N/A
ZNF322	ENSG00000181315).GENE.M1.001	6	26637344	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.276524	0.0289856	0.524063	0.0285629	6.56E-05	0.999934	2801	#N/A	#N/A
CLASP2	ENSG00000163539).GENE.M3.01	3	33498630	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0467457	-0.0885921	-0.00489939	0.0285651	0.00230217	0.997693	2802	#N/A	#N/A
WDR59	ENSG00000103091).GENE.M3.singleton	16	74874208	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.172877	0.0181071	0.327646	0.0285774	0.00016774	0.999832	2803	#N/A	#N/A
DUSP13	ENSG00000079393).GENE.M3.001	10	75094675	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0690325	0.00722791	0.130837	0.028584	0.00105263	0.998946	2804	#N/A	#N/A
C12orf57	ENSG00000111678).GENE.M3.singleton	12	6944121	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.348005	0.036424	0.659586	0.0285906	4.13E-05	0.999959	2805	#N/A	#N/A
ELOF1	ENSG00000130165).GENE.M3.01	19	11552897	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.120514	-0.228417	-0.0126104	0.0285954	0.000362221	0.999638	2806	#N/A	#N/A
HPS4	ENSG00000100099).GENE.M3.0001	22	26453232	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.142033	0.0148595	0.269206	0.0285986	0.000247963	0.999752	2807	#N/A	#N/A
C14orf1	ENSG00000133935).GENE.M1.001	14	75651554	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.316774	-0.600421	-0.033127	0.0286065	4.98E-05	0.99995	2808	#N/A	#N/A
RARG	ENSG00000172819).GENE.M3.0001	12	53211675	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.139045	0.0145399	0.263551	0.0286077	0.000258903	0.999741	2809	#N/A	#N/A
TRIM9	ENSG00000100505).GENE.M1.singleton	14	50977290	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.453491	-0.859578	-0.0474042	0.0286144	2.43E-05	0.999976	2810	#N/A	#N/A
ZNF880	ENSG00000221923).GENE.M1.0001	19	52369965	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.173325	0.0181073	0.328542	0.0286253	0.000175033	0.999825	2811	#N/A	#N/A
PLXND1	ENSG00000004399).GENE.M3.1	3	129555504	ref	M3.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0342976	-0.0650138	-0.00358146	0.0286337	0.00427858	0.998556	2812	#N/A	#N/A
ZMYND12	ENSG00000066185).GENE.M1.singleton	1	42430735	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.588902	-1.11632	-0.0614879	0.0286358	1.46E-05	0.999985	2813	#N/A	#N/A
SLC27A2	ENSG00000140284).GENE.M3.0001	15	50182427	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.123018	-0.233203	-0.0128321	0.0286536	0.000330618	0.999669	2814	#N/A	#N/A
ERMN	ENSG00000136541).GENE.M3.1	2	157321270	ref	M3.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0495147	-0.0938648	-0.00516453	0.028655	0.0020615	1.00148	2815	#N/A	#N/A
CABP5	ENSG00000105507).GENE.M3.singleton	19	48030556	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.424373	0.0442199	0.804526	0.0286733	2.92E-05	0.999971	2816	#N/A	#N/A
DIAPH1	ENSG00000131504).GENE.M1.0001	5	141516850	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.196255	0.0204368	0.372073	0.0286851	0.000130059	0.99987	2817	#N/A	#N/A
SRBD1	ENSG00000068784).GENE.M3.01	2	45389309	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0517525	-0.0981166	-0.00538836	0.028688	0.00189011	0.999395	2818	#N/A	#N/A
PRDX5	ENSG00000126432).GENE.M3.01	11	64318215	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0972233	0.010122	0.184325	0.0286893	0.000529961	0.99947	2819	#N/A	#N/A
PIGO	ENSG00000165282).GENE.M3.0001	9	35089091	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0955702	-0.181192	-0.00994871	0.0286915	0.000548194	0.999452	2820	#N/A	#N/A
IMMP2L	ENSG00000184903).GENE.M3.1	7	110663601	ref	M3.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0262741	0.00273235	0.0498159	0.02871	0.00731006	0.998666	2821	#N/A	#N/A
ACBD7	ENSG00000176244).GENE.M1.01	10	15078529	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.312862	-0.593235	-0.0324901	0.0287361	5.11E-05	0.999949	2822	#N/A	#N/A
ZNF521	ENSG00000198795).GENE.M3.0001	18	25062711	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0950386	0.00986567	0.180212	0.0287433	0.000553056	0.999447	2823	#N/A	#N/A
SLC38A10	ENSG00000157637).GENE.M1.01	17	81245555	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0556599	0.00577381	0.105546	0.0287564	0.00161176	1.00292	2824	#N/A	#N/A
TBC1D13	ENSG00000107021).GENE.M1.001	9	128787353	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.25551	-0.484521	-0.0264992	0.0287605	7.66E-05	0.999923	2825	#N/A	#N/A
OVOS2	ENSG00000177359).GENE.M1.01	12	31111780	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.061584	0.00638199	0.116786	0.0287748	0.00132004	0.998678	2826	#N/A	#N/A
KCNA6	ENSG00000151079).GENE.M3.001	12	4810041	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.156854	-0.297457	-0.0162508	0.0287794	0.00020299	0.999797	2827	#N/A	#N/A
ZSCAN16	ENSG00000196812).GENE.M1.singleton	6	28125443	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.492194	-0.933401	-0.0509871	0.0287818	2.07E-05	0.999979	2828	#N/A	#N/A
ZNF564	ENSG00000249709).GENE.M1.01	19	12526445	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0973255	0.0100775	0.184574	0.0287903	0.000554271	0.999445	2829	#N/A	#N/A
P3H3	ENSG00000110811).GENE.M1.singleton	12	6828440	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.337739	0.0349574	0.640521	0.0287973	4.38E-05	0.999956	2830	#N/A	#N/A
TM2D2	ENSG00000169490).GENE.M1.01	8	38991331	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.126031	-0.239029	-0.0130331	0.0288138	0.000314816	0.999685	2831	#N/A	#N/A
CINP	ENSG00000100865).GENE.M3.01	14	102348556	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0894874	-0.169723	-0.00925156	0.0288188	0.000623555	0.999376	2832	#N/A	#N/A
NLRX1	ENSG00000160703).GENE.M1.singleton	11	119171403	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.34271	-0.649997	-0.035423	0.0288228	4.01E-05	1.06057	2833	#N/A	#N/A
TTI2	ENSG00000129696).GENE.M1.0001	8	33499172	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.218644	-0.414698	-0.0225895	0.0288308	0.000104534	0.999895	2834	#N/A	#N/A
TSHB	ENSG00000134200).GENE.M3.001	1	115033362	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.163151	-0.309461	-0.0168405	0.0288479	0.000189619	0.99981	2835	#N/A	#N/A
COMMD10	ENSG00000145781).GENE.M3.0001	5	116085052	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.177842	0.0183285	0.337355	0.0288764	0.000158016	0.999842	2836	#N/A	#N/A
SLC26A3	ENSG00000091138).GENE.M3.singleton	7	107765854	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.199578	0.0205053	0.37865	0.0289331	0.000125197	0.999875	2837	#N/A	#N/A
ELF4	ENSG00000102034).GENE.M3.001	23	130066720	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.151261	-0.286996	-0.015527	0.0289498	0.000151938	1.43191	2838	#N/A	#N/A
ANKRD24	ENSG00000089847).GENE.M1.01	19	4186425	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0779449	0.00800019	0.14789	0.0289518	0.00086301	0.999136	2839	#N/A	#N/A
LRGUK	ENSG00000155530).GENE.M3.01	7	134127367	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0494285	-0.09379	-0.00506703	0.0289745	0.00204813	0.997948	2840	#N/A	#N/A
TMEM261	ENSG00000137038).GENE.M1.0001	9	7798572	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.320139	0.032799	0.607479	0.0289852	4.86E-05	0.999951	2841	#N/A	#N/A
